,mean,std,min,max
IMB_06,0.08896992161111135,0.06967377220802283,2.6333333330796904e-05,0.38755172222222
PST_RESC,0.08977733004597545,0.06999881919396066,3.483901065948203e-05,0.4112995505284758
RCT,0.09507632066666684,0.0742146122203359,0.0003396666666688475,0.47286499999999876
PST_ALT,0.09610395896656315,0.06969512796032998,0.00025665940902541706,0.4480249253810058
IMB_08,0.11426616766666686,0.0866083102290764,0.0006500833333475953,0.5387674166666727
PST,0.4740456669277762,0.1457396379206422,0.015330541460379266,0.9518949036718567
