,mean,std,min,max
IMB_06_ATE,0.09205614244444434,0.06761350843472104,0.00028755555554482726,0.45624338888888616
PST_RESC_ATE,0.09309049772392013,0.07276355507911131,6.129305898383564e-05,0.4219115387274357
RCT_ATE,0.09391139866666691,0.07252862413289249,1.366666666058336e-05,0.4113576666666603
PST_ALT_ATE,0.09755409567101893,0.07089205962935319,2.7702831239651005e-05,0.38208213385161827
IMB_08_ATE,0.11418759783333343,0.08605034062502914,6.174999999331021e-05,0.4636838333333486
PST_ATE,0.11695738074999995,0.08789794926445649,0.00013783333332639813,0.588481166666682
