,mean,std,min,max
PST,1746.9615236199982,0.3207226953466317,1745.71679,1748.10056
IMB_08,1739.5024276299994,0.17362020363423517,1739.02504,1739.99644
IMB_06,1679.4943179300003,0.21228872438383392,1678.8232,1680.26887
PST_ALT,1661.6391886300014,3.7135173237359895,1649.14467,1674.9459500000003
PST_RESC,1655.5600544899987,2.0240245277719273,1649.6712000000002,1661.61419
RCT,1649.478882130002,0.214749827443356,1648.6839,1650.10294
